C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.82,2.43,0.24,0,0,0,7.59,0,24,0,0,0,96,0,4,0,M,1.11890,1.67173,0.00180,95.84189,0.00000,0.013352,0.000020,98.64770,1,2,0,97,0,0,0,100,,1.11890,1.67173,0.00180,95.84189,0.00000,0.013352,0.000020,98.64770
3.35,2.54,0.29,0,0,0,9.26,0,3,0,0,0,88,0,12,0,M,0.025298,1.530512,0.01134,95.97723,0.0016,0.02588,0.002231,97.57410,0,2,0,98,0,0,0,100,,0.025298,1.530512,0.01134,95.97723,0.0016,0.02588,0.002231,97.57410
3.35,2.54,0.29,0,0,0,9.26,0,6,0,0,0,90,0,10,0,M,0.038941,1.644428,0.00667,95.98230,0.0007,0.02163,0.001718,97.69640,0,2,0,98,0,0,0,100,,0.038941,1.644428,0.00667,95.98230,0.0007,0.02163,0.001718,97.69640
3.35,2.54,0.29,0,0,0,9.26,0,12,0,0,0,93,0,7,0,M,0.066923,1.708507,0.00316,95.98719,0.0002,0.01677,0.001164,97.78388,0,2,0,98,0,0,0,100,,0.066923,1.708507,0.00316,95.98719,0.0002,0.01677,0.001164,97.78388
3.35,2.54,0.29,0,0,0,9.26,0,24,0,0,0,95,0,5,0,M,0.094795,1.609693,0.00138,95.98867,0.0000,0.01264,0.000749,97.70795,0,2,0,98,0,0,0,100,,0.094795,1.609693,0.00138,95.98867,0.0000,0.01264,0.000749,97.70795
3.35,2.56,0.27,0,0,0,14.86,0,3,0,0,0,15,0,85,0,AN,0.000155,0.010656,0.04843,16.46451,0.0209,84.52374,0.029969,101.09839,0,0,0,16,0,84,0,100,,0.000155,0.010656,0.04843,16.46451,0.0209,84.52374,0.029969,101.09839
3.35,2.56,0.27,0,0,0,14.86,0,6,0,0,0,21,0,79,0,AN,0.000241,0.013365,0.03492,20.75698,0.0163,80.39414,0.025154,101.24106,0,0,0,21,0,79,0,100,,0.000241,0.013365,0.03492,20.75698,0.0163,80.39414,0.025154,101.24106
3.35,2.56,0.27,0,0,0,14.86,0,12,0,0,0,30,0,70,0,AN,0.000438,0.018669,0.02241,28.64678,0.0102,72.29601,0.019858,101.01440,0,0,0,28,0,72,0,100,,0.000438,0.018669,0.02241,28.64678,0.0102,72.29601,0.019858,101.01440
3.35,2.56,0.27,0,0,0,14.86,0,24,0,0,0,37,0,63,0,AN,0.000671,0.024590,0.01392,37.80769,0.0040,61.21695,0.016262,99.08404,0,0,0,38,0,62,0,100,,0.000671,0.024590,0.01392,37.80769,0.0040,61.21695,0.016262,99.08404
3.28,2.51,0.28,0,0,0,16.53,0,3,0,0,0,7,0,93,0,AN,0.000060,0.008027,0.07661,3.05815,0.0969,94.51824,0.065968,97.82391,0,0,0,3,0,97,0,100,,0.000060,0.008027,0.07661,3.05815,0.0969,94.51824,0.065968,97.82391
